userName,groupName,message
User1,TestGroup,@gpt Where do you want to go today?
User2,TestGroup,@gpt Who was George Washington?
User3,TestGroup,@gpt Where is Timbuktu?
User4,TestGroup,@gpt Give me your perspective on vacation in the mountains.
User5,TestGroup,@gpt What do you know about Nils Landgren?
User6,TestGroup,@gpt Why is the sky blue?
User7,TestGroup,@gpt When did the first human being arrive on the moon?
User8,TestGroup,@gpt What do you know about 42?
User9,TestGroup,@gpt Is there more life in the universe?
User10,TestGroup,@gpt Is Arminia Bielefeld the greatest football team in Germany?
User11,TestGroup,@gpt Where is the coffee?
User12,TestGroup,@gpt The best beaches are in Greece, would you agree?
User13,TestGroup,@gpt Will Boris Becker win Wimbledon one more time?
User14,TestGroup,@gpt I'm waiting for Godot, have you seen him?
User15,TestGroup,@gpt Why isn't there free lunch for everyone?
User16,TestGroup,@gpt Is water wet?
User17,TestGroup,@gpt Why do people in Britain drive on the wrong side of the road?
User18,TestGroup,@gpt Gibt's heute Salat?
User19,TestGroup,@gpt Give me a recipe for Yorkshire Pudding.
User20,TestGroup,@gpt What's the next big thing?
